"state","date","total_sales","total_transactions","q25th","median","avg_price","q75th","min_price","max_price"
"SP","2017-10",227906,2084,37,65,109,122,4,2399
"SP","2017-11",360257,3437,36,65,105,119,4,2899
"SP","2017-12",280741,2646,40,70,106,125,5,2700
"SP","2018-01",375410,3434,40,73,109,130,5,1997
"SP","2018-02",312322,3089,37,70,101,120,3,2288
"SP","2018-03",385713,3470,36,70,111,130,5,2000
"SP","2018-04",398827,3551,37,70,112,127,1,3400
"SP","2018-05",436602,3685,40,70,118,126,5,2750
"SP","2018-06",343832,3235,35,69,106,120,4,3899
"SP","2018-07",326321,3162,35,66,103,123,3,2200
"SP","2018-08",396618,3652,35,65,109,120,2,4400
"SP","2018-09",145,1,145,145,145,145,145,145
"TO","2017-01",629,2,297,315,315,332,280,350
"TO","2017-02",765,7,74,121,109,154,11,177
"TO","2017-03",727,9,27,79,81,100,14,208
"TO","2017-04",3192,17,60,70,188,340,29,859
"TO","2017-05",2124,20,54,80,106,131,26,379
"TO","2017-06",3965,9,59,130,441,220,30,2650
"TO","2017-07",97,1,98,98,98,98,98,98
"TO","2017-08",2132,15,26,63,142,104,20,1200
"TO","2017-09",3693,19,60,107,194,199,20,810
"TO","2017-10",2808,14,54,102,201,193,9,1380
"TO","2017-11",2336,22,22,76,106,145,18,559
"TO","2017-12",1457,15,36,70,97,173,10,240
"TO","2018-01",2647,22,64,82,120,108,30,526
"TO","2018-02",2849,21,54,90,136,150,25,539
"TO","2018-03",4573,21,48,135,218,180,20,1000
"TO","2018-04",4291,21,49,90,204,179,22,1999
"TO","2018-05",2739,16,67,147,171,187,20,569
"TO","2018-06",4049,24,40,63,169,248,30,799
"TO","2018-07",2613,25,30,70,105,89,19,760
"TO","2018-08",1925,15,35,78,128,204,14,416
