"state","date","day","hour"
"SP","2018-01","Monday   ","11"
"RJ","2018-05","Friday   ","19"
"ES","2018-06","Monday   ","08"
"ES","2018-06","Monday   ","08"
"RJ","2017-07","Monday   ","20"
"MG","2017-02","Wednesday","10"
"SP","2018-05","Tuesday  ","02"
"SP","2018-07","Wednesday","13"
"SP","2017-10","Tuesday  ","15"
"SP","2017-10","Wednesday","11"
"MS","2018-07","Friday   ","11"
"MS","2018-07","Friday   ","11"
"MS","2018-07","Friday   ","11"
"RJ","2018-01","Monday   ","16"
"SP","2017-08","Tuesday  ","21"
"RJ","2018-06","Tuesday  ","09"
"BA","2017-10","Monday   ","14"
"SP","2018-06","Friday   ","19"
"GO","2018-06","Sunday   ","11"
"SP","2018-05","Friday   ","19"
"SP","2017-02","Friday   ","13"
"SP","2018-03","Saturday ","16"
"SP","2018-03","Saturday ","16"
"SP","2018-03","Tuesday  ","11"
"GO","2017-10","Friday   ","19"
"PI","2017-10","Tuesday  ","11"
"SP","2017-06","Thursday ","19"
"SP","2018-08","Monday   ","18"
"SP","2018-02","Sunday   ","13"
"PB","2018-07","Friday   ","07"
"SP","2017-05","Monday   ","17"
"MS","2018-01","Monday   ","08"
"RJ","2017-02","Monday   ","08"
"RO","2017-08","Wednesday","23"
"RO","2017-08","Wednesday","23"
"RO","2017-08","Wednesday","23"
"RO","2017-08","Wednesday","23"
"SP","2017-03","Saturday ","19"
"CE","2018-04","Thursday ","15"
"MG","2018-06","Thursday ","16"
"SP","2017-06","Friday   ","13"
"SP","2018-04","Wednesday","18"
"SC","2018-03","Friday   ","19"
"SC","2018-03","Friday   ","19"
"MG","2017-08","Tuesday  ","19"
"SP","2017-08","Tuesday  ","11"
"SP","2018-04","Tuesday  ","14"
"SP","2018-04","Tuesday  ","14"
"MG","2018-03","Friday   ","17"
"MG","2018-03","Friday   ","17"
"MG","2018-03","Friday   ","17"
"MG","2018-03","Friday   ","17"
"SP","2018-04","Thursday ","00"
"SP","2017-11","Thursday ","22"
"DF","2017-08","Saturday ","00"
"RJ","2018-01","Tuesday  ","21"
"RJ","2018-01","Tuesday  ","21"
"PR","2017-04","Thursday ","17"
"RJ","2017-06","Saturday ","10"
"SP","2017-12","Saturday ","12"
"SP","2017-11","Saturday ","00"
"SP","2018-01","Saturday ","15"
"SP","2018-06","Tuesday  ","23"
"MG","2017-10","Monday   ","14"
"GO","2017-05","Sunday   ","14"
"RS","2018-04","Thursday ","20"
"SP","2017-11","Sunday   ","20"
"SP","2017-11","Sunday   ","20"
"PR","2018-03","Thursday ","13"
"RS","2018-07","Thursday ","07"
"SP","2018-06","Friday   ","11"
"SP","2018-06","Friday   ","11"
"SP","2018-01","Wednesday","19"
"SP","2017-12","Thursday ","20"
"BA","2017-10","Tuesday  ","09"
"SP","2018-07","Thursday ","20"
"SP","2018-07","Thursday ","20"
"DF","2018-08","Tuesday  ","20"
"RJ","2018-03","Thursday ","09"
"SC","2017-11","Wednesday","09"
"SP","2017-08","Thursday ","11"
"SP","2017-08","Thursday ","11"
"RS","2017-10","Wednesday","22"
"SP","2017-10","Monday   ","12"
"RJ","2018-01","Monday   ","15"
"SP","2017-07","Monday   ","14"
"MG","2017-11","Sunday   ","18"
"MG","2017-11","Sunday   ","18"
"SP","2018-02","Saturday ","22"
"SP","2018-07","Thursday ","16"
"SP","2018-07","Saturday ","19"
"SP","2018-06","Friday   ","11"
"PI","2017-11","Monday   ","12"
"SP","2018-06","Tuesday  ","08"
"MG","2017-07","Wednesday","18"
"RJ","2017-12","Friday   ","11"
"SP","2018-08","Thursday ","08"
"SP","2017-07","Wednesday","11"
"SP","2018-01","Sunday   ","14"
"PR","2018-03","Wednesday","08"
"SP","2018-04","Wednesday","13"
"SP","2018-07","Saturday ","21"
"MG","2018-04","Tuesday  ","16"
"MG","2017-08","Sunday   ","12"
"SP","2017-03","Saturday ","11"
"SP","2017-09","Monday   ","21"
"CE","2017-08","Sunday   ","11"
"RJ","2018-01","Saturday ","20"
"SP","2018-08","Friday   ","21"
"SP","2018-07","Monday   ","15"
"SC","2017-08","Sunday   ","12"
"SP","2018-04","Tuesday  ","16"
"SP","2017-10","Monday   ","10"
"MG","2017-07","Thursday ","17"
"SP","2017-12","Tuesday  ","18"
"SP","2018-06","Sunday   ","20"
"SP","2018-08","Thursday ","12"
"SP","2018-05","Friday   ","11"
"MG","2018-07","Monday   ","12"
"SP","2017-06","Saturday ","17"
"SP","2017-06","Saturday ","17"
"SP","2017-12","Sunday   ","12"
"SP","2017-08","Sunday   ","11"
"SP","2017-08","Sunday   ","11"
"MG","2017-10","Wednesday","15"
"MG","2017-12","Friday   ","13"
"SP","2017-04","Tuesday  ","23"
"SP","2018-03","Tuesday  ","21"
"SP","2017-10","Sunday   ","12"
"BA","2017-04","Friday   ","18"
"PA","2018-08","Tuesday  ","19"
"PR","2017-11","Thursday ","15"
"SP","2018-03","Saturday ","19"
"SP","2017-10","Saturday ","20"
"MG","2017-06","Friday   ","11"
"MG","2017-06","Friday   ","11"
"SC","2018-03","Sunday   ","11"
"MG","2018-07","Monday   ","21"
"RJ","2018-06","Monday   ","17"
"GO","2017-05","Friday   ","14"
"SP","2018-07","Sunday   ","20"
"PR","2018-02","Thursday ","11"
"MG","2018-04","Friday   ","21"
"SP","2017-06","Friday   ","19"
"BA","2017-03","Monday   ","16"
"PR","2018-06","Thursday ","22"
"RJ","2018-05","Wednesday","14"
"SP","2017-07","Friday   ","22"
"SP","2017-11","Monday   ","16"
"SP","2018-03","Thursday ","20"
"SP","2018-03","Thursday ","20"
"RJ","2018-08","Monday   ","22"
"BA","2017-02","Sunday   ","17"
"RS","2017-11","Friday   ","10"
"SP","2017-09","Wednesday","16"
"SP","2017-09","Wednesday","16"
"RJ","2018-04","Friday   ","14"
"RJ","2017-09","Monday   ","00"
"RJ","2017-09","Monday   ","00"
"RJ","2017-07","Wednesday","09"
"SP","2018-02","Tuesday  ","17"
"RJ","2017-08","Tuesday  ","08"
"RJ","2018-08","Friday   ","11"
"RJ","2017-11","Monday   ","12"
"PR","2018-04","Thursday ","21"
"SP","2018-04","Wednesday","10"
"SP","2018-03","Tuesday  ","11"
"CE","2017-09","Wednesday","08"
"CE","2017-09","Wednesday","08"
"CE","2017-09","Wednesday","08"
"CE","2017-09","Wednesday","08"
"CE","2017-09","Wednesday","08"
"MG","2018-03","Wednesday","15"
"SP","2018-03","Wednesday","15"
"TO","2018-02","Monday   ","13"
"SP","2017-11","Monday   ","19"
"MA","2017-04","Tuesday  ","16"
"SP","2018-06","Friday   ","12"
"PR","2017-08","Tuesday  ","20"
"SE","2018-06","Sunday   ","12"
"SP","2018-01","Sunday   ","16"
"SP","2018-01","Sunday   ","16"
"SP","2017-12","Sunday   ","10"
"SP","2017-12","Sunday   ","20"
"CE","2018-07","Monday   ","22"
"PE","2017-05","Saturday ","12"
"SP","2018-05","Sunday   ","15"
"SP","2018-07","Sunday   ","20"
"PI","2017-02","Monday   ","09"
"SP","2017-11","Wednesday","21"
"SP","2018-07","Sunday   ","09"
"SP","2018-01","Wednesday","16"
"RJ","2018-01","Monday   ","10"
"RJ","2017-04","Sunday   ","20"
"MG","2017-02","Friday   ","20"
"SP","2017-09","Monday   ","16"
"DF","2018-07","Friday   ","10"
"SP","2018-04","Sunday   ","19"
"SP","2018-03","Friday   ","11"
"RS","2017-10","Friday   ","20"
"PR","2018-03","Thursday ","14"
"SP","2017-09","Tuesday  ","20"
"RS","2017-07","Friday   ","16"
"MG","2018-06","Wednesday","07"
"SP","2017-09","Monday   ","16"
"SP","2017-04","Tuesday  ","07"
"SP","2017-11","Wednesday","15"
"PE","2017-06","Thursday ","22"
"BA","2017-08","Tuesday  ","13"
"BA","2017-08","Tuesday  ","13"
"RN","2017-04","Tuesday  ","11"
"RN","2017-04","Tuesday  ","11"
"SC","2017-05","Tuesday  ","08"
"BA","2018-03","Tuesday  ","15"
"SP","2017-07","Saturday ","16"
"SP","2018-03","Tuesday  ","13"
"SP","2017-11","Wednesday","15"
"MG","2018-04","Sunday   ","11"
"SP","2018-06","Tuesday  ","11"
"SP","2018-06","Wednesday","19"
"MA","2017-12","Wednesday","11"
"SP","2018-07","Wednesday","18"
"SP","2018-04","Thursday ","15"
"RJ","2017-11","Wednesday","11"
"RJ","2018-08","Saturday ","14"
"SP","2017-11","Friday   ","20"
"SC","2017-11","Monday   ","10"
"SP","2018-07","Tuesday  ","10"
"PR","2017-07","Monday   ","23"
"SP","2017-09","Sunday   ","08"
"RJ","2018-01","Tuesday  ","19"
"SP","2017-11","Monday   ","10"
"RJ","2018-07","Saturday ","12"
"SP","2017-06","Tuesday  ","13"
"GO","2017-11","Saturday ","09"
"RJ","2018-05","Thursday ","14"
"RJ","2017-02","Tuesday  ","11"
"PE","2018-08","Monday   ","20"
"SP","2018-04","Sunday   ","19"
"BA","2018-02","Sunday   ","19"
"PR","2018-02","Wednesday","11"
"RJ","2017-11","Monday   ","17"
"RJ","2017-11","Monday   ","17"
"RJ","2017-05","Wednesday","17"
"RJ","2018-02","Saturday ","20"
"RJ","2018-01","Sunday   ","17"
"SP","2018-04","Tuesday  ","19"
"ES","2017-07","Sunday   ","11"
"SP","2017-06","Thursday ","16"
"GO","2017-10","Friday   ","12"
"PR","2018-02","Saturday ","12"
"SP","2018-08","Friday   ","14"
"RJ","2017-06","Wednesday","23"
"SP","2018-08","Wednesday","21"
"RJ","2018-01","Sunday   ","14"
"SE","2018-06","Thursday ","12"
"PE","2018-04","Thursday ","12"
"PR","2018-06","Sunday   ","17"
"MG","2018-06","Wednesday","18"
"SP","2017-06","Thursday ","06"
"SP","2017-06","Sunday   ","15"
"SP","2017-12","Saturday ","20"
"SP","2018-05","Wednesday","23"
"MG","2018-03","Saturday ","13"
"MG","2018-03","Saturday ","13"
"RJ","2018-05","Sunday   ","14"
"SP","2017-11","Saturday ","19"
"SP","2018-04","Thursday ","20"
"RS","2017-11","Monday   ","12"
"SP","2018-03","Saturday ","18"
"SP","2017-10","Thursday ","13"
"SP","2017-10","Wednesday","13"
"SP","2018-02","Thursday ","13"
"SP","2017-07","Tuesday  ","20"
"RJ","2017-08","Friday   ","16"
"BA","2017-06","Friday   ","11"
"SP","2018-01","Friday   ","17"
"RJ","2018-04","Tuesday  ","23"
"SP","2017-01","Thursday ","19"
"BA","2018-03","Saturday ","19"
"DF","2018-04","Monday   ","12"
"MG","2018-07","Tuesday  ","12"
"SP","2018-08","Monday   ","16"
"SP","2017-11","Friday   ","16"
"RS","2018-02","Sunday   ","19"
"SP","2017-11","Wednesday","18"
"ES","2018-08","Friday   ","12"
"BA","2017-09","Saturday ","20"
"MS","2018-01","Sunday   ","19"
"PR","2018-04","Sunday   ","21"
"RJ","2017-11","Tuesday  ","16"
"SP","2017-10","Saturday ","19"
"MG","2018-01","Tuesday  ","09"
"RJ","2017-12","Monday   ","12"
"MG","2017-11","Wednesday","17"
"SP","2018-08","Friday   ","09"
"SP","2017-09","Tuesday  ","17"
"SP","2017-09","Tuesday  ","17"
"SP","2017-09","Tuesday  ","17"
"SP","2017-08","Saturday ","23"
"SP","2018-07","Monday   ","10"
"DF","2017-08","Tuesday  ","21"
"DF","2017-08","Tuesday  ","21"
"DF","2017-08","Tuesday  ","21"
"PE","2017-12","Tuesday  ","14"
"MG","2018-05","Monday   ","14"
"PA","2017-07","Sunday   ","19"
"BA","2018-05","Thursday ","22"
"SC","2018-07","Monday   ","12"
"SP","2018-03","Wednesday","07"
"ES","2018-06","Sunday   ","18"
"SP","2018-02","Tuesday  ","09"
"SP","2018-04","Thursday ","19"
"SP","2018-03","Tuesday  ","13"
"RS","2018-05","Thursday ","14"
"SP","2018-06","Saturday ","21"
"SP","2018-07","Thursday ","14"
"RS","2018-02","Wednesday","14"
"RJ","2018-02","Monday   ","20"
"SP","2018-03","Tuesday  ","11"
"ES","2017-04","Saturday ","20"
"GO","2018-08","Friday   ","13"
"RJ","2018-02","Sunday   ","23"
"RJ","2018-02","Sunday   ","23"
"MG","2017-10","Monday   ","20"
"RJ","2018-05","Saturday ","23"
"RJ","2018-05","Saturday ","23"
"SP","2017-08","Thursday ","12"
"SP","2017-06","Wednesday","23"
"SP","2017-11","Monday   ","14"
"GO","2018-03","Saturday ","00"
"SP","2018-07","Thursday ","15"
"SP","2017-07","Friday   ","19"
"SP","2017-11","Friday   ","22"
"SP","2018-04","Wednesday","19"
"SP","2018-01","Tuesday  ","09"
"SP","2018-03","Friday   ","23"
"SP","2018-02","Friday   ","22"
"SC","2017-11","Friday   ","22"
"RJ","2018-04","Friday   ","20"
"RJ","2018-07","Tuesday  ","10"
"GO","2018-06","Sunday   ","17"
"SP","2018-01","Monday   ","10"
"PR","2018-06","Tuesday  ","08"
"MG","2017-12","Sunday   ","13"
"PR","2018-04","Tuesday  ","14"
"SP","2017-08","Sunday   ","11"
"MT","2018-02","Wednesday","12"
"RJ","2017-02","Tuesday  ","16"
"GO","2018-04","Thursday ","10"
"RJ","2017-12","Saturday ","18"
"SP","2018-05","Thursday ","10"
"SP","2018-05","Wednesday","14"
"SP","2018-06","Monday   ","23"
"MG","2018-03","Friday   ","12"
"SP","2017-09","Thursday ","07"
"MG","2018-08","Wednesday","16"
"SP","2018-03","Saturday ","18"
"SC","2018-01","Saturday ","20"
"RS","2018-06","Tuesday  ","09"
"SP","2018-08","Thursday ","12"
"SP","2018-05","Friday   ","17"
"MG","2017-01","Tuesday  ","16"
"SP","2018-03","Monday   ","10"
"CE","2018-08","Wednesday","18"
"MA","2018-05","Saturday ","16"
"MA","2018-05","Saturday ","16"
"RJ","2017-12","Thursday ","23"
"SC","2018-08","Friday   ","17"
"SC","2018-08","Monday   ","18"
"DF","2018-04","Thursday ","00"
"MG","2017-12","Monday   ","09"
"SP","2018-07","Sunday   ","13"
"SP","2018-02","Wednesday","22"
"SP","2018-05","Friday   ","10"
"SP","2017-11","Monday   ","14"
"MG","2018-03","Sunday   ","11"
"MG","2018-03","Sunday   ","11"
"SP","2018-05","Tuesday  ","20"
"SP","2017-06","Thursday ","19"
"RN","2017-11","Monday   ","12"
"PR","2018-03","Tuesday  ","20"
"RJ","2017-11","Tuesday  ","12"
"SP","2018-08","Thursday ","23"
"SP","2017-10","Wednesday","23"
"SP","2017-08","Thursday ","11"
"SP","2017-08","Thursday ","19"
"ES","2018-04","Thursday ","05"
"SP","2018-01","Monday   ","12"
"SP","2017-08","Monday   ","11"
"DF","2017-06","Monday   ","11"
"SP","2017-12","Wednesday","23"
"SC","2017-11","Wednesday","14"
"SP","2018-06","Monday   ","17"
"SP","2018-06","Monday   ","17"
"SP","2017-12","Monday   ","18"
"SP","2018-03","Monday   ","22"
"SC","2018-05","Tuesday  ","21"
"RS","2017-03","Wednesday","14"
"SP","2018-06","Tuesday  ","12"
"SP","2018-06","Tuesday  ","12"
"RJ","2017-07","Sunday   ","20"
"SP","2017-10","Tuesday  ","15"
"SP","2017-04","Wednesday","08"
"RJ","2017-11","Monday   ","20"
"SP","2018-05","Saturday ","12"
"BA","2017-02","Friday   ","15"
"SP","2017-11","Thursday ","09"
"RJ","2018-07","Tuesday  ","21"
"RJ","2018-07","Tuesday  ","21"
"RJ","2018-07","Sunday   ","07"
"MG","2018-06","Saturday ","16"
"SP","2018-08","Friday   ","14"
"MG","2017-10","Monday   ","13"
"SP","2017-12","Thursday ","12"
"SP","2018-07","Thursday ","05"
"PR","2017-11","Thursday ","22"
"SP","2018-08","Saturday ","21"
"SP","2018-04","Wednesday","13"
"SP","2018-01","Monday   ","11"
"MG","2017-09","Tuesday  ","12"
"SP","2018-08","Thursday ","12"
"SP","2018-03","Thursday ","18"
"AL","2018-02","Tuesday  ","17"
"RS","2018-05","Sunday   ","13"
"SP","2017-12","Sunday   ","18"
"MG","2017-11","Friday   ","15"
"SP","2018-04","Thursday ","01"
"SP","2017-07","Thursday ","14"
"MG","2017-12","Tuesday  ","13"
"SC","2018-02","Wednesday","15"
"MG","2017-12","Monday   ","07"
"SP","2017-07","Friday   ","10"
"SP","2017-05","Tuesday  ","19"
"PE","2017-05","Sunday   ","17"
"RS","2018-06","Tuesday  ","20"
"MG","2018-02","Thursday ","07"
"MG","2018-02","Thursday ","07"
"RJ","2018-02","Monday   ","18"
"RJ","2018-02","Monday   ","18"
"RJ","2018-02","Monday   ","18"
"SP","2018-04","Monday   ","22"
"SE","2017-07","Tuesday  ","02"
"MG","2017-09","Wednesday","09"
"SP","2018-02","Saturday ","20"
"RJ","2017-06","Tuesday  ","10"
"RJ","2018-06","Friday   ","19"
"RS","2017-11","Friday   ","20"
"SP","2017-11","Sunday   ","05"
"SP","2017-11","Sunday   ","05"
"GO","2018-03","Friday   ","23"
"SP","2018-02","Wednesday","17"
"SP","2018-02","Wednesday","17"
"SP","2018-02","Wednesday","17"
"BA","2017-11","Saturday ","02"
"SP","2018-06","Saturday ","13"
"SP","2017-12","Wednesday","02"
"PA","2017-11","Thursday ","16"
"SP","2017-10","Monday   ","18"
"SP","2017-10","Monday   ","18"
"SP","2017-10","Monday   ","18"
"SP","2017-10","Monday   ","18"
"SP","2017-10","Monday   ","18"
"SP","2017-10","Monday   ","18"
"SP","2017-09","Friday   ","13"
"MG","2018-08","Thursday ","10"
"AL","2017-09","Monday   ","19"
"SP","2017-01","Thursday ","14"
"SP","2017-01","Thursday ","14"
"SP","2017-01","Thursday ","14"
"MG","2017-03","Friday   ","18"
"SP","2018-04","Tuesday  ","13"
"SP","2017-07","Thursday ","22"
"SP","2017-07","Thursday ","22"
"SP","2017-07","Tuesday  ","10"
"SP","2017-07","Tuesday  ","10"
"CE","2018-02","Wednesday","07"
"RJ","2017-12","Thursday ","00"
"SP","2018-06","Monday   ","08"
"RJ","2017-10","Thursday ","16"
"PR","2017-05","Tuesday  ","08"
"GO","2017-04","Tuesday  ","10"
"RJ","2017-11","Thursday ","19"
"MG","2018-04","Tuesday  ","14"
"RJ","2018-02","Thursday ","18"
"PE","2018-08","Thursday ","21"
"MG","2018-02","Thursday ","09"
"SP","2018-02","Monday   ","09"
"RS","2017-07","Tuesday  ","18"
"PE","2018-07","Monday   ","12"
"SP","2018-03","Tuesday  ","21"
"RJ","2018-07","Saturday ","13"
"PR","2018-06","Monday   ","22"
"MG","2017-08","Thursday ","22"
"MG","2017-08","Thursday ","22"
"SP","2018-01","Friday   ","17"
"SP","2018-05","Wednesday","21"
"MS","2017-08","Tuesday  ","13"
"RJ","2018-07","Monday   ","15"
"RJ","2018-07","Monday   ","15"
"SP","2018-08","Friday   ","11"
"SP","2018-04","Sunday   ","21"
"RO","2018-01","Saturday ","16"
"MG","2017-01","Tuesday  ","13"
"SP","2017-09","Wednesday","17"
"PE","2018-08","Wednesday","14"
"SP","2018-02","Monday   ","13"
"SP","2017-12","Friday   ","23"
"RS","2017-10","Tuesday  ","10"
"SC","2017-10","Tuesday  ","17"
"SP","2017-12","Saturday ","12"
"RJ","2018-01","Sunday   ","09"
"RJ","2017-11","Sunday   ","21"
"PA","2018-01","Thursday ","14"
"SP","2017-02","Saturday ","10"
"PI","2017-09","Friday   ","16"
"MG","2018-04","Monday   ","09"
"MG","2018-01","Monday   ","19"
"SP","2017-07","Tuesday  ","10"
"SC","2018-06","Thursday ","21"
"SC","2018-06","Thursday ","21"
"PI","2018-03","Wednesday","09"
"MG","2018-02","Thursday ","09"
"RS","2018-03","Saturday ","10"
"DF","2017-09","Saturday ","19"
"SP","2017-09","Tuesday  ","02"
"MG","2017-10","Thursday ","18"
"MG","2017-11","Wednesday","18"
"MG","2018-07","Tuesday  ","18"
"SP","2018-05","Monday   ","07"
"MT","2017-11","Sunday   ","23"
"SP","2017-10","Saturday ","14"
"SP","2018-06","Wednesday","20"
"SP","2018-02","Monday   ","10"
"RS","2017-04","Wednesday","22"
"RJ","2016-10","Sunday   ","11"
"PI","2018-01","Saturday ","15"
"MG","2017-03","Saturday ","21"
"SP","2017-11","Thursday ","18"
"SP","2018-04","Wednesday","17"
"RS","2018-01","Saturday ","13"
"ES","2017-08","Monday   ","13"
"MG","2018-04","Sunday   ","18"
"PI","2017-07","Thursday ","16"
"PI","2018-01","Thursday ","20"
"RS","2018-04","Saturday ","22"
"SP","2017-10","Wednesday","23"
"SP","2018-08","Sunday   ","17"
"RJ","2018-05","Saturday ","20"
"ES","2018-04","Sunday   ","19"
"SP","2018-01","Tuesday  ","01"
"SP","2018-06","Sunday   ","18"
"RS","2018-05","Tuesday  ","19"
"RS","2018-05","Tuesday  ","19"
"BA","2017-05","Tuesday  ","23"
"PR","2017-12","Wednesday","13"
"SC","2018-01","Monday   ","18"
"TO","2018-03","Saturday ","09"
"SP","2017-07","Sunday   ","20"
"RJ","2018-04","Monday   ","11"
"MG","2018-06","Thursday ","11"
"SP","2017-08","Monday   ","20"
"AL","2017-09","Wednesday","16"
"CE","2017-09","Friday   ","12"
"CE","2017-09","Friday   ","12"
"SP","2017-12","Tuesday  ","13"
"TO","2018-08","Thursday ","16"
"SP","2017-04","Tuesday  ","15"
"SP","2017-08","Tuesday  ","21"
"SC","2018-03","Friday   ","13"
"SP","2017-01","Tuesday  ","22"
"SP","2017-10","Friday   ","20"
"DF","2017-12","Tuesday  ","22"
"BA","2017-08","Tuesday  ","07"
"RJ","2017-08","Monday   ","17"
"RJ","2017-08","Monday   ","17"
"SP","2017-08","Thursday ","20"
"RS","2017-09","Thursday ","13"
"PI","2018-04","Friday   ","08"
"TO","2017-06","Thursday ","13"
"SP","2017-06","Tuesday  ","22"
"MT","2017-12","Tuesday  ","10"
"CE","2018-08","Monday   ","10"
"SP","2017-12","Wednesday","19"
"SP","2017-03","Wednesday","22"
"MG","2017-12","Thursday ","08"
"SP","2018-08","Friday   ","07"
"SC","2018-01","Tuesday  ","18"
"SP","2018-01","Monday   ","17"
"SP","2018-03","Wednesday","15"
"RO","2017-02","Wednesday","18"
"RS","2017-05","Saturday ","13"
"SP","2018-03","Wednesday","19"
"SP","2018-03","Wednesday","19"
"BA","2017-12","Saturday ","14"
"MG","2018-08","Friday   ","21"
"SP","2018-06","Thursday ","15"
"SP","2018-05","Wednesday","09"
"SP","2018-03","Tuesday  ","08"
"MG","2018-08","Thursday ","12"
"MG","2018-05","Tuesday  ","21"
"SC","2018-07","Sunday   ","11"
"AL","2018-03","Wednesday","19"
"SP","2018-04","Monday   ","14"
"SP","2017-08","Thursday ","21"
"PR","2017-08","Thursday ","14"
"SP","2018-05","Monday   ","14"
"SP","2017-05","Wednesday","22"
"RJ","2017-07","Tuesday  ","21"
"SP","2017-06","Tuesday  ","13"
"ES","2018-07","Thursday ","12"
"SC","2017-11","Thursday ","13"
"SP","2017-08","Monday   ","22"
"SP","2017-10","Tuesday  ","18"
"SP","2017-06","Friday   ","10"
"SP","2017-10","Friday   ","04"
"RJ","2017-09","Wednesday","11"
"SC","2018-01","Tuesday  ","18"
"MG","2018-05","Tuesday  ","11"
"RS","2017-11","Friday   ","23"
"SP","2017-09","Thursday ","18"
"SP","2018-06","Saturday ","09"
"SP","2018-02","Tuesday  ","09"
"MS","2017-10","Thursday ","21"
"RS","2018-05","Tuesday  ","16"
"RS","2018-05","Tuesday  ","16"
"PB","2017-09","Friday   ","21"
"GO","2017-11","Saturday ","23"
"CE","2018-01","Saturday ","15"
"SP","2017-12","Thursday ","16"
"SP","2018-08","Wednesday","10"
"SP","2018-08","Wednesday","10"
"SP","2018-04","Monday   ","20"
"CE","2017-09","Thursday ","10"
"MT","2017-02","Sunday   ","04"
"SP","2018-04","Friday   ","14"
"SP","2018-08","Thursday ","13"
"RS","2017-04","Sunday   ","20"
"PE","2017-11","Wednesday","15"
"SP","2017-12","Saturday ","20"
"SP","2017-05","Tuesday  ","18"
"RJ","2018-03","Saturday ","15"
"PE","2017-11","Friday   ","17"
"SP","2018-05","Wednesday","08"
"SP","2018-08","Wednesday","11"
"SP","2017-08","Sunday   ","09"
"SP","2017-11","Friday   ","12"
"MG","2018-05","Monday   ","09"
"SP","2017-11","Sunday   ","21"
"MG","2018-01","Tuesday  ","21"
"MG","2018-01","Tuesday  ","21"
"PR","2017-06","Thursday ","12"
"CE","2017-08","Friday   ","18"
"SP","2018-03","Tuesday  ","13"
"MG","2017-11","Sunday   ","18"
"SP","2017-07","Wednesday","11"
"SP","2017-07","Wednesday","11"
"SP","2018-03","Thursday ","09"
"MG","2017-08","Tuesday  ","20"
"SP","2017-06","Saturday ","12"
"SP","2018-03","Friday   ","20"
"SP","2018-01","Friday   ","16"
"PR","2018-06","Saturday ","18"
"SP","2017-02","Wednesday","09"
"RS","2017-08","Wednesday","11"
"SP","2018-05","Saturday ","13"
"SC","2017-04","Wednesday","15"
"SP","2018-08","Tuesday  ","21"
"SP","2018-03","Thursday ","16"
"ES","2017-06","Sunday   ","15"
"BA","2018-08","Sunday   ","17"
"SP","2018-06","Monday   ","13"
"RJ","2018-07","Thursday ","08"
"SP","2018-08","Thursday ","15"
"ES","2017-07","Tuesday  ","09"
"SP","2018-05","Tuesday  ","16"
"SP","2018-05","Tuesday  ","16"
"SP","2018-05","Tuesday  ","16"
"SP","2018-05","Tuesday  ","16"
"SP","2018-05","Tuesday  ","16"
"SP","2018-05","Tuesday  ","16"
"SP","2018-05","Tuesday  ","16"
"RN","2018-07","Saturday ","09"
"SP","2018-03","Friday   ","09"
"SP","2018-07","Saturday ","10"
"SP","2018-07","Saturday ","10"
"RJ","2018-08","Friday   ","19"
"SP","2018-02","Saturday ","14"
"MG","2017-10","Tuesday  ","20"
"SC","2018-02","Sunday   ","08"
"RS","2017-08","Wednesday","09"
"DF","2018-06","Monday   ","07"
"RJ","2017-11","Monday   ","13"
"ES","2018-02","Friday   ","11"
"PE","2018-05","Wednesday","14"
"BA","2017-05","Monday   ","14"
"RS","2017-08","Thursday ","03"
"SP","2018-03","Monday   ","00"
"ES","2018-01","Wednesday","19"
"RJ","2018-01","Thursday ","20"
"BA","2018-08","Friday   ","07"
"SP","2018-08","Monday   ","21"
"MG","2018-07","Sunday   ","09"
"SP","2018-07","Sunday   ","21"
"SP","2017-12","Saturday ","09"
"SP","2017-11","Monday   ","12"
"RJ","2017-09","Sunday   ","22"
"SP","2018-04","Thursday ","09"
"SE","2017-07","Friday   ","11"
"SP","2018-04","Saturday ","08"
"SP","2018-06","Monday   ","13"
"SP","2017-09","Friday   ","20"
"SP","2018-06","Wednesday","11"
"RJ","2017-11","Monday   ","13"
"GO","2017-11","Friday   ","23"
"MG","2017-05","Sunday   ","11"
"MG","2017-03","Tuesday  ","16"
"RJ","2017-09","Tuesday  ","00"
"SP","2017-12","Monday   ","10"
"SP","2018-07","Sunday   ","11"
"MT","2018-03","Sunday   ","10"
"RS","2018-01","Wednesday","15"
"SP","2018-03","Saturday ","23"
"SP","2018-01","Friday   ","22"
"MG","2017-03","Tuesday  ","09"
"SP","2018-07","Sunday   ","19"
"MG","2018-01","Saturday ","22"
"MG","2018-01","Saturday ","22"
"SP","2017-08","Friday   ","19"
"PR","2018-03","Wednesday","13"
"RS","2018-03","Sunday   ","18"
"RJ","2018-02","Monday   ","19"
"SP","2018-02","Monday   ","14"
"RS","2017-12","Monday   ","20"
"RS","2017-12","Monday   ","20"
"SP","2018-02","Friday   ","18"
"SP","2017-12","Saturday ","20"
"RJ","2017-12","Monday   ","08"
"PE","2018-01","Wednesday","12"
"SP","2018-05","Monday   ","14"
"SP","2018-08","Tuesday  ","09"
"SP","2018-08","Tuesday  ","09"
"MG","2017-11","Tuesday  ","11"
"SP","2018-02","Monday   ","19"
"PE","2017-05","Tuesday  ","20"
"RJ","2018-08","Sunday   ","11"
"SP","2017-12","Tuesday  ","20"
"PR","2018-06","Saturday ","21"
"SP","2018-08","Tuesday  ","18"
"MT","2017-05","Thursday ","08"
"RJ","2017-06","Friday   ","10"
